cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
5494,7,5494,OUTROS,,,OUTROS,OUTROS,OUTROS,OUTROS,T. O FABRICANTES,OUTROS,T. O MARCAS,,,,,,,,NAO IDENTIFICADO,,,,PRODUTO NIELSEN,,,,,,,
88596,7,88596,ODORIZ AMB GLADE TOQ FRESC RF 12ML LEMB INFANCIA,,LEMBRANCAS DE INFANC,FUNCIONAL,CLICK SPRAY,REFIL,SC JOHNSON,T. O FABRICANTES,GLADE,T. O MARCAS,GLADE,GLADE CLICK SPRAY,LEMBRANCA DE INFANCIA,,ML,12.0,12ML,ATE 120ML,NORMAL,1.0,REGULAR,,,,,"R$ 12,01 à R$ 17,00",,BETTER,
112887,7,112887,PURIFIC BOM-AR FRESHMATIC 250ML RF- LAVANDA,,LAVANDA,SENSORIAL,AUTOMATICO,REFIL,RECKITT,T. RECKITT,BOM AR,T. RECKITT,BOM AR,BOM AR AUTOMATICO,LAVANDA,AEROSOL,ML,250.0,250ML,DE 120ML A 250ML,NORMAL,1.0,REGULAR,,,REGULAR,REGULAR,"Acima R$ 22,01",,BEST,
144774,7,144774,PURIF AMB GLADE AUTOM AP 269ML -AER LAV&VANILL,,LAVANDA,SENSORIAL,AUTOMATICO,NORMAL,SC JOHNSON,T. O FABRICANTES,GLADE,T. O MARCAS,GLADE,GLADE AUTOMATICO,LAVANDA,,ML,269.0,269ML,DE 250ML A 500ML,NORMAL,1.0,REGULAR,,,,,"R$ 12,01 à R$ 17,00",,BETTER,
195946,7,195946,PURIF BOM-AR FRESHMATIC 250ML AP+RF TOQ ALGODAO,,TOQUE DE ALGODAO,SENSORIAL,AUTOMATICO,NORMAL,RECKITT,T. RECKITT,BOM AR,T. RECKITT,BOM AR,BOM AR AUTOMATICO,,AEROSOL,ML,250.0,250ML,DE 120ML A 250ML,NORMAL,1.0,REGULAR,,,REGULAR,REGULAR,"Acima R$ 22,01",,BEST,
38864277832,7,38864277832,GREEN LEAF SEA SACHE IMP 90ML 0038864277832,,SEASPRAY,FUNCIONAL,SACHE,NORMAL,OUTRO FABRICANTE,T. O FABRICANTES,GREEN LEAF,T. O MARCAS,GREEN LEAF,GREEN LEAF SACHE,,,ML,90.0,90ML,ATE 120ML,,1.0,REGULAR,PRODUTO NIELSEN,P000000000002015449000000000000048202557,,,,,,
38864283338,7,38864283338,GREEN LEAF TULIPS SACHE 20G IMP 0038864283338,,TULIPA,FUNCIONAL,SACHE,NORMAL,OUTRO FABRICANTE,T. O FABRICANTES,GREEN LEAF,T. O MARCAS,GREEN LEAF,GREEN LEAF SACHE,,,G,20.0,20G,ATE 120G,,1.0,REGULAR,PRODUTO NIELSEN,P000000000002015449000000000000048499555,,,,,,
38864283352,7,38864283352,GREEN LEAF TULIPS SACHE 16G IMP 0038864283352,,TULIPA,FUNCIONAL,SACHE,NORMAL,OUTRO FABRICANTE,T. O FABRICANTES,GREEN LEAF,T. O MARCAS,GREEN LEAF,GREEN LEAF SACHE,,,G,16.0,16G,ATE 120G,,1.0,REGULAR,PRODUTO NIELSEN,P000000000002015449000000000000048230009,,,,,,
38864291746,7,38864291746,GREEN LEAF APPLE SPICE & CINNAMON SACHET 115ML IMP 0038864291746,,MAÇA E CANELA,FUNCIONAL,SACHE,NORMAL,OUTRO FABRICANTE,T. O FABRICANTES,GREEN LEAF,T. O MARCAS,GREEN LEAF,GREEN LEAF SACHE,,,ML,115.0,115ML,ATE 120ML,,1.0,REGULAR,PRODUTO NIELSEN,P000000000002015449000000000000049018902,,,,,,
38864292736,7,38864292736,GREEN LEAF LAVANDER SACHE IMP 115ML 0038864292736,,LAVANDA,FUNCIONAL,SACHE,NORMAL,OUTRO FABRICANTE,T. O FABRICANTES,GREEN LEAF,T. O MARCAS,GREEN LEAF,GREEN LEAF SACHE,,,ML,115.0,115ML,ATE 120ML,,1.0,REGULAR,PRODUTO NIELSEN,P000000000002015449000000000000048286777,,,,,,
38864293054,7,38864293054,GREEN LEAF VANILLA SACHE 90ML IMP 0038864293054,,BAUNILHA,FUNCIONAL,SACHE,NORMAL,OUTRO FABRICANTE,T. O FABRICANTES,GREEN LEAF,T. O MARCAS,GREEN LEAF,GREEN LEAF SACHE,,,ML,90.0,90ML,ATE 120ML,,1.0,REGULAR,PRODUTO NIELSEN,P000000000002015449000000000000049089359,,,,,,
